Complaint ID,Complaint Date,Mode,Product,Feature,Response Time,Rating
2141773,1/1/13,Website,Credit Card,Bill Payment,19,5
1420702,1/1/13,Website,Credit Card,Upgrade Card,18,5
1184859,1/1/13,Email,Credit Card,Bill Payment,15,5
2017178,1/1/13,Email,Credit Card,Bill Payment,17,5
1823789,1/1/13,In Person,Credit Card,Bill Payment,13,5
2051099,1/1/13,Call,Credit Card,Upgrade Card,19,5
1846988,1/1/13,Call,Credit Card,Bill Payment,18,5
934381,1/1/13,Email,Credit Card,Bill Payment,15,5
1576186,1/1/13,Call,Credit Card,Bill Payment,17,5
1874755,1/1/13,In Person,Credit Card,Bill Payment,13,5
2327502,1/1/13,Call,Credit Card,Bill Payment,19,5
2340027,1/1/13,Call,Credit Card,Bill Payment,18,5
1480692,1/1/13,Email,Credit Card,Upgrade Card,15,5
404246,1/1/13,Call,Credit Card,Bill Payment,17,5
456041,1/1/13,In Person,Credit Card,Increase Credit Limit,13,5
2153862,1/1/13,Website,Credit Card,Bill Payment,19,5
2022864,1/1/13,Call,Credit Card,Bill Payment,18,5
2316532,1/1/13,In Person,Credit Card,Bill Payment,15,5
651819,1/1/13,Website,Credit Card,Bill Payment,17,5
1856464,1/1/13,Call,Credit Card,Bill Payment,13,5
1039365,1/1/13,In Person,Credit Card,Bill Payment,19,5
2374679,1/1/13,Call,Credit Card,Upgrade Card,18,5
1969188,1/1/13,Email,Credit Card,Bill Payment,15,5
2151578,1/1/13,Website,Credit Card,Increase Credit Limit,17,5
2405807,1/1/13,In Person,Credit Card,Bill Payment,13,5
1831691,1/1/13,Call,Credit Card,Bill Payment,19,5
2020523,1/1/13,Website,Credit Card,Increase Credit Limit,18,5
1921851,1/1/13,Email,Credit Card,Bill Payment,15,5
2373228,1/1/13,Email,Credit Card,Bill Payment,17,5
469799,1/1/13,Email,Credit Card,Bill Payment,13,5
2437392,1/1/13,In Person,Credit Card,Increase Credit Limit,19,5
1527750,1/1/13,Website,Credit Card,Bill Payment,18,5
868341,1/1/13,In Person,Credit Card,Bill Payment,15,5
1511022,1/1/13,In Person,Credit Card,Bill Payment,17,5
2086775,1/1/13,Website,Credit Card,Bill Payment,13,5
2183588,1/1/13,Website,Credit Card,Bill Payment,19,5
636245,1/1/13,Call,Credit Card,Upgrade Card,18,5
854465,1/1/13,Website,Credit Card,Bill Payment,15,5
1593677,1/1/13,Email,Credit Card,Bill Payment,17,5
